Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000028137	12929	14974	8177	12442	10501	10007	17174	14244
ENSG00000028203	1067	1037	1003	1335	1132	1015	1274	1273
ENSG00000028277	193	1162	232	1856	277	280	1365	1155
ENSG00000028310	907	816	888	858	650	751	739	923
ENSG00000028528	5620	4324	5805	5274	6547	6869	5862	6012
ENSG00000028839	118	139	134	139	112	119	138	142
ENSG00000029153	348	563	326	530	320	387	595	687
ENSG00000029363	3377	3248	3084	3910	3057	3098	3110	3572
ENSG00000029364	1722	2075	1677	2028	1698	1764	1956	2335
ENSG00000029534	3	4	6	7	2	12	2	10
ENSG00000029639	155	210	127	151	253	294	266	346
ENSG00000029725	2839	2625	2129	2212	2041	2318	2409	2345
ENSG00000029993	442	267	476	425	279	237	206	256
ENSG00000030066	2165	1446	1953	1373	2888	2191	2088	1908
ENSG00000030110	2772	2428	2178	1889	2417	2779	2425	3230
ENSG00000030419	304	205	203	179	281	191	155	158
ENSG00000030582	64875	46398	55814	57009	76611	61710	67898	57606
ENSG00000031003	4530	3618	3993	4043	4969	4836	4683	5104
ENSG00000031081	6573	9195	6526	10503	5518	5435	8464	8785
ENSG00000031691	124	68	191	128	105	138	53	75
ENSG00000031698	2133	2344	1575	1799	1822	2145	2162	2652
ENSG00000031823	1149	1000	1089	1266	1178	1182	1141	1141
ENSG00000032219	887	794	836	1112	1017	924	1010	1027
ENSG00000032389	799	629	646	557	746	793	688	685
ENSG00000032444	9977	7501	8307	6324	6801	6703	5275	5785
ENSG00000032742	59	63	75	69	112	83	92	77
ENSG00000033011	1102	860	875	778	902	949	893	902
ENSG00000033030	499	534	499	655	503	604	533	718
ENSG00000033050	790	734	688	686	653	633	751	695
ENSG00000033100	2118	1944	1878	2099	1902	1729	1806	1802
ENSG00000033122	12	14	13	19	21	19	15	13
ENSG00000033170	152	96	136	108	116	97	71	79
ENSG00000033178	1415	1385	1285	1579	1459	1420	1418	1624
ENSG00000033327	1177	1156	1031	1398	1279	1020	1108	1031
ENSG00000033627	5838	4647	4665	4444	6153	5243	5082	4670
ENSG00000033800	1967	1696	1763	2078	1842	1948	1810	2053
ENSG00000033867	909	970	889	1135	670	661	770	842
ENSG00000034152	4044	5941	2966	4975	3284	3108	5649	5311
ENSG00000034239	11	14	8	12	13	13	11	10
ENSG00000034510	23693	16785	23353	24396	22414	25724	20179	25392
ENSG00000034533	188	137	163	135	154	182	136	154
ENSG00000034677	1757	1833	1514	2235	1355	1583	1437	1868
ENSG00000034693	263	173	173	193	204	209	171	234
ENSG00000034713	2211	2360	2096	2077	2107	2337	2778	2652
ENSG00000035115	341	250	266	272	300	376	279	291
ENSG00000035141	1035	1012	993	1080	942	956	1101	1207
ENSG00000035403	5449	3589	4525	3340	5268	5134	4033	4377
ENSG00000035499	91	30	99	53	25	24	10	9
ENSG00000035664	12	29	13	28	15	30	33	39
ENSG00000035681	2219	2016	2051	2318	2696	2047	2841	2229
ENSG00000035687	1532	1107	1278	1204	1487	1784	1492	1628
ENSG00000035862	29687	20033	24948	21849	36094	27669	30106	23702
ENSG00000173638	1092	756	1011	958	1022	981	771	834
ENSG00000036054	1120	1260	971	1157	981	1012	1008	1148
ENSG00000036257	1760	1650	1539	1803	1594	1731	1711	1863
ENSG00000036530	17	21	7	16	17	14	13	9
ENSG00000036549	782	737	652	694	959	807	852	783
ENSG00000036565	5	4	13	5	4	3	9	4
ENSG00000036672	2511	2228	1930	2048	2198	1758	2553	1884
ENSG00000036828	6	13	10	3	12	3	8	13
ENSG00000037042	217	192	189	212	215	215	192	216
ENSG00000037241	509	392	469	425	388	514	424	456
ENSG00000037474	2075	1921	1464	1767	1565	1695	1848	2040
