GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
2769	-0.03993819525597697	0	0	0	0	0	0	0	0	0	0	0
2770	0	0	0	0	0	0	0	0	0	0	0	-0.7747496128917248
2771	0	-0.4351729816947071	0	0	0	0	0	0	0	0	0	-0.3849186638433952
2778	-0.7317027237597806	0	0	0	0	0	0	0	0	0	0	0
2810	-0.4201132142034605	0	0	0	0	0	0	0	0	0	0	0
2817	0	0	0	0	0	0	0	0	0	0	0	0
2852	0	0	0	0	0	0	0	0	0	0	-0.01044734833433436	0
2886	0	0	0	0	0	0	0	0	0	0	0	0
2887	0	0	0	0	0	0	0	0	0	0	0	0
2896	0	0	0	0	0	0	0	0	0	0	0	0
28969	0	0	0	0	0	0	0	0	0	0	-1.513558434918878	0
2908	0	0	0	0	0	0	0	0	0	0	0	0
29082	0	0	0	0	0	0	0	0	0	0	0	0
29083	0	0	0	0	0	0	0	0	0	0	0	0
291	0	0	0	0	0	0	0	0	0	0	0	0
29103	0	0	0	0	0	0	0	0	0	0	0	0
2920	0	0	0	0	0	0	0	0	0	0	0	0
2946	0	-0.501118265776912	0	0	0	0	0	0	0	0	0	0
2954	0	0	0	0	0	0	0	0	0	0	0	0
2956	-0.4899956036133117	0	0	0	0	0	0	0	0	0	0	0
2958	0	-0.2733756843287337	0	0	0	0	0	0	0	0	0	0
2961	0	0	0	0	-0.717973935305463	-0.717973935305463	0	0	0	0	0	0
29763	0	0	0	0	0	0	0	0	0	0	0	0
29890	0	0	0	0	0	0	0	0	0	0	0	0
29911	0	0	0	0	0	0	0	0	0	0	0	0
29916	0	0	0	0	0	0	0	0	0	0	0	0
29928	0	0	0	0	0	0	0	0	0	0	0	0
29937	0	0	0	0	0	0	0	0	0	0	-1.3609582538147342	0
29978	0	0	0	0	0	0	0	0	0	0	-0.140003891912293	0
30	0	0	0	0	0	0	0	0	0	0	0	0
30001	0	0	0	0	0	0	0	0	0	0	-1.1111083358058391	0
