,pert_iname,clinical_phase,moa,target,disease_area,indication
749,benserazide,Launched,DOPA decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
750,bentiromide,Launched,,HPN,gastroenterology,pancreas diagnostic agent
752,benzalkonium,Launched,cationic surfactant,,dermatology,abrasions|superficial cuts
754,benzbromarone,Launched,chloride channel blocker,ABCC1,rheumatology,gout
756,benzethonium,Launched,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic
757,benznidazole,Launched,DNA synthesis inhibitor,,infectious disease,Chagas disease
759,benzocaine,Launched,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic
762,benzoic-acid,Launched,food preservative,DAO|HRSP12|PRDX5|RAB9A,infectious disease,tinea pedis
764,benzonatate,Launched,local anesthetic,SCN5A,pulmonary,cough suppressant
768,benzoyl-peroxide,Launched,oxidizing agent,,dermatology,acne vulgaris (AV)
770,benzthiazide,Launched,carbonic anhydrase inhibitor,CA2,cardiology,hypertension|edema
771,benztropine-mesylate,Launched,acetylcholine receptor antagonist,CHRM1|HRH1|SLC6A3,neurology/psychiatry,extrapyramidal symptoms (EPS)|Parkinson's Disease
772,benzydamine,Launched,prostanoid receptor antagonist,,dental|otolaryngology,mouth inflammation|throat inflammation
773,benzyl-alcohol,Launched,local anesthetic,,infectious disease,virus herpes simplex (HSV)
774,benzyl-benzoate,Launched,lipase inhibitor,LIPE,allergy,sweet itch
778,benzylpenicillin,Launched,penicillin binding protein inhibitor,,infectious disease,celluitis|meningitis|endocarditis|syphilis|pneumonia|bacterial septicemia
779,bephenium-hydroxynaphthoate,Launched,anthelmintic agent,,infectious disease,ascariasis
780,bepotastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
781,bepridil,Launched,calcium channel blocker,KCNQ4,cardiology,angina pectoris
782,berberine,Launched,LDL receptor activator,LDLR,,
785,besifloxacin,Launched,bacterial DNA gyrase inhibitor,,ophthalmology,conjunctivitis
788,beta-carotene,Launched,,,,
789,beta-CCB,Launched,benzodiazepine receptor ligand,GABRA1|GABRG2,,
790,beta-elemene,Launched,apoptosis stimulant,MMP2|MMP9,,
793,beta-hydroxy-beta-methylbutyrate,Launched,protein synthesis stimulant,MTOR,,
797,betahistine,Launched,histamine receptor agonist|histamine receptor antagonist,HRH1|HRH3,neurology/psychiatry,Meniere's disease
798,betaine,Launched,nitric oxide donor,,metabolism,homocystinuria
799,betamethasone,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
800,betamethasone-acetate,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
801,betamethasone-butyrate-propionate,Launched,,,rheumatology,rheumatoid arthritis
802,betamethasone-dipropionate,Launched,anti-inflammatory agent,NR3C1,dermatology,corticosteroid-responsive dermatoses
803,betamethasone-phosphate,Launched,,,rheumatology,rheumatoid arthritis
804,betamethasone-valerate,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
805,betamipron,Launched,panipenem uptake inhibitor,,nephrology,renal toxicity
806,betaxolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
807,betazole,Launched,histamine receptor agonist,HRH2,gastroenterology,gastric hypersecretion diagnostic
808,bethanechol,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,urology,urinary retention
810,betrixaban,Launched,coagulation factor inhibitor,KCNH2,hematology,deep vein thrombosis (DVT)
812,bevantolol,Launched,adrenergic receptor antagonist,,cardiology,angina pectoris|hypertension
816,bexarotene,Launched,retinoid receptor agonist,RXRA|RXRB|RXRG,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
817,bezafibrate,Launched,PPAR receptor agonist,PPARA|PPARD|PPARG,cardiology,cholesterol
829,biapenem,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,bacterial septicemia|pneumonia|urinary tract infections
834,bicalutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
836,bictegravir,Launched,HIV integrase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
839,bicyclol,Launched,NFkB pathway inhibitor,HSPA1A|HSPB1,infectious disease,hepatitis B|hepatitis C
840,bifemelane,Launched,acetylcholine release enhancer,MAOA|MAOB,ophthalmology|neurology/psychiatry,glaucoma|senile dementia
841,bifendate,Launched,,,infectious disease,hepatitis B|hepatitis C
842,bifonazole,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis|tinea cruris
844,bilastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
846,bimatoprost,Launched,prostanoid receptor agonist,AKR1C3|PTGER1|PTGER3|PTGFR,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
850,binimetinib,Launched,MEK inhibitor,MAP2K1|MAP2K2,oncology,melanoma
853,biotin,Launched,vitamin B,ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6,,
855,biperiden,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,neurology/psychiatry,Parkinson's Disease
859,bisacodyl,Launched,laxative,,gastroenterology,constipation
864,bismuth-subcitrate-potassium,Launched,,,gastroenterology,duodenal ulcer disease
865,bismuth-subgallate,Launched,nitric oxide synthase inhibitor,NOS1,gastroenterology,internal deoderant
866,bismuth-subsalicylate,Launched,antacid,,gastroenterology,diarrhea
868,bisoprolol,Launched,adrenergic receptor antagonist,ADRB1,cardiology,hypertension
873,bivalirudin,Launched,thrombin inhibitor,F2,cardiology,angina pectoris
880,bleomycetin,Launched,EGFR expression inhibitor,,,
881,bleomycin,Launched,DNA synthesis inhibitor,,hematologic malignancy|pulmonary|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|pleural effusion|testicular carcinoma|squamous cell carcinoma
882,blonanserin,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia
933,boceprevir,Launched,HCV inhibitor,CMA1|CTSA|CTSF|CTSK|CTSL|CTSS,infectious disease,hepatitis C
935,bopindolol,Launched,adrenergic receptor antagonist,,cardiology,hypertension|coronary artery disease (CAD)
938,bortezomib,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
940,bosentan,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH)
941,bosutinib,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK,hematologic malignancy,chronic myeloid leukemia (CML)
951,bremelanotide,Launched,melanocortin receptor agonist,MC1R|MC2R|MC3R|MC4R|MC5R,neurology/psychiatry,hypoactive sexual desire disorder
954,bretylium,Launched,norepinephrine inhibitor,ATP1A1,cardiology,ventricular arrhythmias|ventricular fibrillation (VF)|ventricular tachycardia (VT)
955,brexpiprazole,Launched,dopamine receptor partial agonist,DRD2,neurology/psychiatry,depression|schizophrenia
957,brigatinib,Launched,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,ALK|EGFR,oncology,non-small cell lung cancer (NSCLC)
958,brilliant-green,Launched,,,infectious disease,antiseptic
959,brimonidine,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
961,brinzolamide,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA5A|CA7,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
964,brivudine,Launched,DNA directed DNA polymerase inhibitor,,infectious disease,shingles
972,brolitene,Launched,muscle relaxant,RYR1,rheumatology,lumbago
973,bromantan,Launched,dopamine reuptake inhibitor|serotonin reuptake inhibitor,,neurology/psychiatry,neurasthenia
976,bromhexine,Launched,mucolytic agent,,pulmonary,chest congestion
979,bromocriptine,Launched,dopamine receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
980,bromopride,Launched,dopamine receptor antagonist,DRD2,gastroenterology,nausea|vomiting|gastroesophageal reflux disease (GERD)
982,bromperidol,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,schizophrenia
983,brompheniramine,Launched,histamine receptor antagonist,HRH1,allergy|otolaryngology,allergic rhinitis|common cold
984,bronopol,Launched,,,obstetrics/gynecology,mastitis
1006,bucillamine,Launched,immunosuppressant,,rheumatology,rheumatoid arthritis
1007,bucladesine,Launched,adenosine receptor agonist|cAMP stimulant,PRKACA,dermatology,skin ulcer
1008,buclizine,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry,migraine headache
1009,budesonide,Launched,glucocorticoid receptor agonist,NR3C1,gastroenterology,Crohn's disease
1010,budipine,Launched,glutamate receptor antagonist,GRIN1,neurology/psychiatry,Parkinson's Disease
1012,buflomedil,Launched,adrenergic receptor antagonist|calcium channel blocker,ADRA1A,cardiology,peripheral artery disease (PAD)
1013,bumetanide,Launched,solute carrier family member inhibitor,CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5,cardiology,edema|congestive heart failure
1014,bunazosin,Launched,adrenergic receptor antagonist,ADRA1A,ophthalmology,glaucoma|intraocular pressure
1016,buparvaquone,Launched,antiprotozoal agent,,infectious disease,protozoan infection
1017,buphenine,Launched,adrenergic receptor agonist,ADRB2,rheumatology,Raynaud's disease
1019,bupivacaine,Launched,sodium channel blocker,KCNA5|SCN10A,neurology/psychiatry,peripheral nerve block|caudal epidural block|lumbar epidural block
1020,bupranolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology|ophthalmology,hypertension|glaucoma
1021,bupropion,Launched,dopamine reuptake inhibitor,SLC6A2|SLC6A3,neurology/psychiatry,depression
1023,buserelin,Launched,gonadotropin releasing factor hormone receptor agonist,,oncology|obstetrics/gynecology,prostate cancer|endometriosis
1024,buspirone,Launched,serotonin receptor agonist,DRD2|HTR1A,neurology/psychiatry,generalized anxiety disorder (GAD)
1025,busulfan,Launched,DNA inhibitor,,hematologic malignancy,chronic myeloid leukemia (CML)
1027,butacaine,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
1029,butalbital,Launched,GABA receptor antagonist,CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2,neurology/psychiatry,headache|muscle relaxant
1033,butenafine,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
1036,butoconazole,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,vulvovaginal candidiasis
1042,butylphthalide,Launched,potassium channel antagonist,KCNK2,neurology/psychiatry,stroke
1043,butylscopolamine-bromide,Launched,cholinergic receptor antagonist,,gastroenterology,abdominal pain
1062,cabagin,Launched,,,gastroenterology,dyspepsia
1064,cabazitaxel,Launched,microtubule inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,prostate cancer
1065,cabergoline,Launched,dopamine receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7,endocrinology,hyperprolactinemia
1067,cabozantinib,Launched,RET tyrosine kinase inhibitor|VEGFR inhibitor,KDR|MET|RET,oncology,medullary thyroid cancer (MTC)
1070,cadralazine,Launched,adrenergic receptor antagonist,,cardiology,hypertension
1071,cafestol,Launched,pregnane X receptor agonist,,,
1074,caffeine,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3,neurology/psychiatry,fatigue|drowsiness
1075,calcifediol,Launched,vitamin D receptor agonist,VDR,endocrinology,hyperparathyroidism
1076,calcipotriol,Launched,vitamin D receptor agonist,VDR,dermatology,psoriasis
1077,calcitonin,Launched,calcitonin agonist,,orthopedics,osteoporosis
1078,calcitriol,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis
1079,calcium-gluceptate,Launched,,,,
1080,calcium-levofolinate,Launched,,,,
1086,camostat-mesilate,Launched,protease inhibitor,PRSS1,gastroenterology,pancreatitis
1090,camylofine-chlorhydrate,Launched,,,gastroenterology,abdominal pain
1091,canagliflozin,Launched,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A2,endocrinology,diabetes mellitus
1092,candesartan,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension|congestive heart failure
1093,candesartan-cilexetil,Launched,angiotensin receptor antagonist,,cardiology,hypertension|congestive heart failure|hypertension
1094,candicidin,Launched,fungal ergosterol inhibitor,,infectious disease,vulvovaginal candidiasis
1096,cangrelor,Launched,purinergic receptor antagonist,,cardiology,myocardial infarction
1098,cantharidin,Launched,protein phosphatase inhibitor,,dermatology,blisters
1100,capecitabine,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer
1102,capreomycin,Launched,protein synthesis inhibitor,,infectious disease,tuberculosis
1104,caprylic-acid,Launched,,,,
1105,capsaicin,Launched,TRPV agonist,CFTR|TRPV1,neurology/psychiatry|rheumatology,muscle pain|rheumatoid arthritis
1109,captopril,Launched,angiotensin converting enzyme inhibitor,ACE|LTA4H|MMP2|MMP9,cardiology|endocrinology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy
1111,caramiphen,Launched,cholinergic receptor antagonist,CHRM1|CHRM2,neurology/psychiatry,Parkinson's Disease
1112,carazolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology,angina pectoris|cardiac arrythmia|hypertension|myocardial infarction
1113,carbachol,Launched,cholinergic receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,ophthalmology,intraocular pressure
1114,carbadox,Launched,other antibiotic,,infectious disease|gastroenterology,dysentry|enteritis
1115,carbamazepine,Launched,carboxamide antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
1116,carbaril,Launched,acetylcholinesterase inhibitor,,,
1117,carbarsone,Launched,antiprotozoal agent,,infectious disease,amebiasis
1118,carbazochrome,Launched,,,hematology,hemorrhage
1119,carbendazim,Launched,microtubule inhibitor|tubulin polymerization inhibitor,TP53|TUBB,infectious disease,fungicide
1120,carbenicillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections
1121,carbenoxolone,Launched,11-beta hydroxysteroid dehydrogenase inhibitor,GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3,gastroenterology|dental,peptic ulcer disease (PUD)|mouth inflammation
1122,carbetapentane,Launched,acetylcholine receptor antagonist,CHRM2,otolaryngology|pulmonary,common cold|nasal congestion|bronchitis
1123,carbetocin,Launched,oxytocin receptor agonist,OXTR,hematology,hemorrhage
1124,carbidopa,Launched,aromatic L-amino acid decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
1125,carbimazole,Launched,antithyroid agent,TPO,endocrinology,hyperthyroidism
1126,carbinoxamine,Launched,histamine receptor antagonist,HRH1,allergy|ophthalmology|otolaryngology|dermatology,allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism
1127,carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer
1134,carfilzomib,Launched,proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9,hematologic malignancy,multiple myeloma
1135,carglumic-acid,Launched,carbamoyl phosphate synthase activator,CPS1,metabolism,hyperammonemia
1138,cariprazine,Launched,dopamine receptor antagonist,DRD2|DRD3,neurology/psychiatry,schizophrenia
1139,carmofur,Launched,thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer
1142,carmustine,Launched,DNA alkylating agent|DNA inhibitor,GSR,hematologic malignancy|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|multiple myeloma|glioblastoma|brainstem glioma|medulloblastoma|astrocytoma|ependymoma
1147,carprofen,Launched,cyclooxygenase inhibitor,PTGS2,rheumatology,osteoarthritis
1149,carteolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
1150,carumonam,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|gram-negative bacterial infections
1151,carvedilol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology,myocardial infarction|hypertension
1153,casanthranol-variant,Launched,,,gastroenterology,constipation
1155,caspofungin,Launched,"bacterial cell wall synthesis inhibitor|fungal 1,3-beta-D-glucan synthase inhibitor",,infectious disease,candidemia|esophageal candidiasis|aspergillosis|peritonitis|fungal infection
1196,cefaclor,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|otolaryngology,pneumonia|skin infections|urinary tract infections|respiratory tract infections|tonsillitis|pharyngitis
1197,cefadroxil,Launched,bacterial cell wall synthesis inhibitor,SLC15A1|SLC15A2|SLC22A6|SLC22A8,infectious disease|otolaryngology,urinary tract infections|skin infections|tonsillitis|pharyngitis
1198,cefalonium,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
1199,cefamandole,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|urinary tract infections|respiratory tract infections
1200,cefamandole-nafate,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|urinary tract infections|respiratory tract infections
1201,cefathiamidine,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
1202,cefazolin,Launched,bacterial cell wall synthesis inhibitor,PON1,infectious disease,urinary tract infections|skin infections|bacterial septicemia|endocarditis|surgical prophylaxis|bone and joint infections
1203,cefcapene-pivoxil,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|pneumonia|urinary tract infections
1204,cefdinir,Launched,bacterial cell wall synthesis inhibitor,MPO,infectious disease|otolaryngology|pulmonary,pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis
1205,cefditoren-pivoxil,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|pulmonary|otolaryngology,pneumonia|bronchitis|skin infections|tonsillitis|pharyngitis
