GO_term	median_diff	p_value	statistic	p_adj	auroc
positive regulation of fibroblast apoptotic process	NA	NA	NA	NA	NA
positive regulation of fibroblast migration	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
positive regulation of fibroblast proliferation	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
positive regulation of filopodium assembly	NA	NA	NA	NA	NA
positive regulation of gamma-delta T cell activation	NA	NA	NA	NA	NA
positive regulation of glial cell differentiation	NA	NA	NA	NA	NA
positive regulation of glial cell proliferation	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
positive regulation of gliogenesis	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
positive regulation of glomerular mesangial cell proliferation	NA	NA	NA	NA	NA
positive regulation of glucose import	NA	NA	NA	NA	NA
positive regulation of glucose metabolic process	NA	NA	NA	NA	NA
positive regulation of glucose transmembrane transport	NA	NA	NA	NA	NA
positive regulation of glycogen (starch) synthase activity	NA	NA	NA	NA	NA
positive regulation of glycogen biosynthetic process	NA	NA	NA	NA	NA
positive regulation of glycogen metabolic process	NA	NA	NA	NA	NA
positive regulation of granulocyte chemotaxis	NA	NA	NA	NA	NA
positive regulation of granulocyte macrophage colony-stimulating factor production	NA	NA	NA	NA	NA
positive regulation of hair follicle development	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
positive regulation of heart contraction	NA	NA	NA	NA	NA
positive regulation of heart rate	NA	NA	NA	NA	NA
positive regulation of heat generation	NA	NA	NA	NA	NA
positive regulation of hematopoietic progenitor cell differentiation	NA	NA	NA	NA	NA
positive regulation of hemopoiesis	-0.3654850980427702	0.8706758337606594	83	0.9655078529484519	0.45108695652173914
positive regulation of hemostasis	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of hepatocyte proliferation	NA	NA	NA	NA	NA
positive regulation of heterochromatin formation	NA	NA	NA	NA	NA
positive regulation of heterochromatin organization	NA	NA	NA	NA	NA
positive regulation of heterotypic cell-cell adhesion	0	NA	87	NA	0.47282608695652173
positive regulation of histone acetylation	NA	NA	NA	NA	NA
positive regulation of histone deacetylase activity	NA	NA	NA	NA	NA
positive regulation of histone deacetylation	NA	NA	NA	NA	NA
positive regulation of histone modification	NA	NA	NA	NA	NA
positive regulation of homotypic cell-cell adhesion	NA	NA	NA	NA	NA
positive regulation of hormone biosynthetic process	NA	NA	NA	NA	NA
positive regulation of hormone metabolic process	NA	NA	NA	NA	NA
positive regulation of humoral immune response	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
positive regulation of hypersensitivity	NA	NA	NA	NA	NA
positive regulation of icosanoid secretion	NA	NA	NA	NA	NA
positive regulation of immature T cell proliferation	NA	NA	NA	NA	NA
positive regulation of immature T cell proliferation in thymus	NA	NA	NA	NA	NA
positive regulation of immunoglobulin mediated immune response	NA	NA	NA	NA	NA
positive regulation of immunoglobulin production	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
positive regulation of inflammatory response	-0.5440503560171766	0.5440657018191273	73	0.8540523159096338	0.3967391304347826
positive regulation of inflammatory response to antigenic stimulus	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of integrin activation	NA	NA	NA	NA	NA
positive regulation of interferon-alpha production	NA	NA	NA	NA	NA
positive regulation of interferon-beta production	NA	NA	NA	NA	NA
positive regulation of interleukin-1 beta production	0	0.3081521037813991	65.5	0.8017867405900627	0.35597826086956524
positive regulation of interleukin-1 production	NA	NA	NA	NA	NA
positive regulation of interleukin-10 production	0	0.1053982646850308	57	0.6148322475406707	0.30978260869565216
positive regulation of interleukin-12 production	0	0.6513315580810688	96	0.8822582843048257	0.5217391304347826
positive regulation of interleukin-13 production	NA	NA	NA	NA	NA
positive regulation of interleukin-17 production	NA	NA	NA	NA	NA
positive regulation of interleukin-18 production	NA	NA	NA	NA	NA
positive regulation of interleukin-2 production	NA	NA	NA	NA	NA
positive regulation of interleukin-23 production	NA	NA	NA	NA	NA
positive regulation of interleukin-4 production	NA	NA	NA	NA	NA
positive regulation of interleukin-5 production	NA	NA	NA	NA	NA
positive regulation of interleukin-6 production	0	0.3317999723301326	66.5	0.8017867405900627	0.36141304347826086
positive regulation of interleukin-8 production	0	0.7325048113367358	80.5	0.8893027267469643	0.4375
positive regulation of intracellular protein transport	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
positive regulation of intracellular transport	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
positive regulation of intrinsic apoptotic signaling pathway	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	NA	NA	NA	NA	NA
positive regulation of ion transmembrane transporter activity	0	NA	87	NA	0.47282608695652173
positive regulation of isomerase activity	NA	NA	NA	NA	NA
positive regulation of isotype switching	NA	NA	NA	NA	NA
positive regulation of keratinocyte differentiation	NA	NA	NA	NA	NA
positive regulation of leukocyte adhesion to vascular endothelial cell	NA	NA	NA	NA	NA
positive regulation of leukocyte apoptotic process	NA	NA	NA	NA	NA
positive regulation of leukocyte chemotaxis	NA	NA	NA	NA	NA
positive regulation of leukocyte degranulation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
positive regulation of leukocyte differentiation	-0.3654850980427702	0.8706758337606594	83	0.9655078529484519	0.45108695652173914
positive regulation of leukocyte mediated cytotoxicity	NA	NA	NA	NA	NA
positive regulation of leukocyte mediated immunity	0	0.38706003830580454	69	0.8017867405900627	0.375
positive regulation of leukocyte migration	-0.22149079670812605	0.28257323364674414	64	0.7828641239227586	0.34782608695652173
positive regulation of leukocyte proliferation	0.2582344042387893	0.24530525342038947	113.5	0.6971233015807347	0.6168478260869565
positive regulation of leukocyte tethering or rolling	NA	NA	NA	NA	NA
positive regulation of lipase activity	NA	NA	NA	NA	NA
positive regulation of lipid kinase activity	NA	NA	NA	NA	NA
positive regulation of lipid localization	0	0.6805494852911914	79	0.8822582843048257	0.42934782608695654
positive regulation of lipid metabolic process	NA	NA	NA	NA	NA
positive regulation of lipid storage	NA	NA	NA	NA	NA
positive regulation of lipid transport	NA	NA	NA	NA	NA
positive regulation of lipopolysaccharide-mediated signaling pathway	NA	NA	NA	NA	NA
positive regulation of lymphocyte apoptotic process	NA	NA	NA	NA	NA
positive regulation of lymphocyte chemotaxis	NA	NA	NA	NA	NA
positive regulation of lymphocyte differentiation	-0.7370412818295854	0.7323300956691108	79	0.8893027267469643	0.42934782608695654
positive regulation of lymphocyte mediated immunity	0	0.5180206289290548	74	0.8540523159096338	0.40217391304347827
positive regulation of lymphocyte migration	NA	NA	NA	NA	NA
positive regulation of lymphocyte proliferation	-0.39103736568302105	0.13057590966016464	54	0.62571222592143	0.29347826086956524
positive regulation of mRNA catabolic process	NA	NA	NA	NA	NA
positive regulation of mRNA metabolic process	NA	NA	NA	NA	NA
positive regulation of mRNA processing	NA	NA	NA	NA	NA
positive regulation of mRNA splicing, via spliceosome	NA	NA	NA	NA	NA
positive regulation of macroautophagy	NA	NA	NA	NA	NA
positive regulation of macrophage activation	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
positive regulation of macrophage chemotaxis	NA	NA	NA	NA	NA
positive regulation of macrophage cytokine production	0	0.38817578651077184	102	0.8017867405900627	0.5543478260869565
positive regulation of macrophage differentiation	NA	NA	NA	NA	NA
positive regulation of macrophage migration	NA	NA	NA	NA	NA
positive regulation of mast cell activation	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
positive regulation of mast cell activation involved in immune response	NA	NA	NA	NA	NA
positive regulation of mast cell degranulation	NA	NA	NA	NA	NA
positive regulation of membrane protein ectodomain proteolysis	NA	NA	NA	NA	NA
positive regulation of memory T cell differentiation	NA	NA	NA	NA	NA
positive regulation of mesenchymal cell proliferation	0	0.5494866892312928	81	0.8540523159096338	0.44021739130434784
positive regulation of miRNA catabolic process	NA	NA	NA	NA	NA
positive regulation of miRNA metabolic process	NA	NA	NA	NA	NA
positive regulation of miRNA transcription	NA	NA	NA	NA	NA
positive regulation of microtubule nucleation	NA	NA	NA	NA	NA
positive regulation of mitochondrial fission	NA	NA	NA	NA	NA
positive regulation of mitochondrion organization	NA	NA	NA	NA	NA
positive regulation of mitotic cell cycle	NA	NA	NA	NA	NA
positive regulation of mitotic cell cycle phase transition	NA	NA	NA	NA	NA
positive regulation of mitotic cell cycle spindle assembly checkpoint	NA	NA	NA	NA	NA
positive regulation of mitotic cytokinesis	NA	NA	NA	NA	NA
positive regulation of mitotic nuclear division	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
positive regulation of mitotic sister chromatid separation	NA	NA	NA	NA	NA
positive regulation of monoatomic ion transmembrane transport	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
positive regulation of monocyte chemotactic protein-1 production	NA	NA	NA	NA	NA
positive regulation of monocyte chemotaxis	NA	NA	NA	NA	NA
positive regulation of mononuclear cell migration	0	0.04021240857873052	45	0.3190880732675889	0.24456521739130435
positive regulation of mononuclear cell proliferation	-0.05847234226895537	0.9454586822378039	85	0.9857939502513622	0.46195652173913043
positive regulation of monooxygenase activity	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
positive regulation of morphogenesis of an epithelium	NA	NA	NA	NA	NA
positive regulation of muscle cell differentiation	NA	NA	NA	NA	NA
positive regulation of muscle hypertrophy	NA	NA	NA	NA	NA
positive regulation of myeloid cell differentiation	NA	NA	NA	NA	NA
positive regulation of myeloid dendritic cell cytokine production	NA	NA	NA	NA	NA
positive regulation of myeloid leukocyte cytokine production involved in immune response	NA	NA	NA	NA	NA
positive regulation of myeloid leukocyte differentiation	NA	NA	NA	NA	NA
positive regulation of myeloid leukocyte mediated immunity	NA	NA	NA	NA	NA
positive regulation of myoblast fusion	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of natural killer cell activation	NA	NA	NA	NA	NA
positive regulation of natural killer cell chemotaxis	NA	NA	NA	NA	NA
positive regulation of natural killer cell differentiation	NA	NA	NA	NA	NA
positive regulation of natural killer cell mediated cytotoxicity	NA	NA	NA	NA	NA
positive regulation of natural killer cell proliferation	NA	NA	NA	NA	NA
positive regulation of necroptotic process	NA	NA	NA	NA	NA
positive regulation of neural precursor cell proliferation	NA	NA	NA	NA	NA
positive regulation of neuroinflammatory response	0	0.973419190311063	86	1	0.4673913043478261
positive regulation of neuron apoptotic process	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
positive regulation of neuron death	0	NA	87	NA	0.47282608695652173
positive regulation of neuron differentiation	NA	NA	NA	NA	NA
positive regulation of neuron projection development	0.53267751516891	1.0596800827068939e-4	130.5	0.03237322652669561	0.7092391304347826
positive regulation of neutrophil activation	NA	NA	NA	NA	NA
positive regulation of neutrophil chemotaxis	NA	NA	NA	NA	NA
positive regulation of neutrophil migration	NA	NA	NA	NA	NA
positive regulation of nitric oxide biosynthetic process	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
positive regulation of nitric oxide metabolic process	0	0.8817567625944944	84	0.9655078529484519	0.45652173913043476
positive regulation of nitric-oxide synthase activity	NA	NA	NA	NA	NA
positive regulation of nitric-oxide synthase biosynthetic process	NA	NA	NA	NA	NA
positive regulation of nuclear division	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
positive regulation of nucleocytoplasmic transport	NA	NA	NA	NA	NA
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	NA	NA	NA	NA	NA
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway	NA	NA	NA	NA	NA
positive regulation of odontogenesis	NA	NA	NA	NA	NA
positive regulation of organ growth	NA	NA	NA	NA	NA
positive regulation of organelle assembly	NA	NA	NA	NA	NA
positive regulation of organic acid transport	NA	NA	NA	NA	NA
positive regulation of osteoblast differentiation	NA	NA	NA	NA	NA
positive regulation of osteoclast differentiation	NA	NA	NA	NA	NA
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
positive regulation of oxidoreductase activity	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
positive regulation of p38MAPK cascade	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of pattern recognition receptor signaling pathway	0	0.28568471375606275	64.5	0.7828641239227586	0.35054347826086957
positive regulation of peptidase activity	0	0.6602618316585667	96	0.8822582843048257	0.5217391304347826
positive regulation of peptidyl-serine phosphorylation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
positive regulation of peptidyl-threonine phosphorylation	NA	NA	NA	NA	NA
positive regulation of peptidyl-tyrosine phosphorylation	0	0.9806433309479909	88	1	0.4782608695652174
positive regulation of phagocytosis	0	0.36233397859303107	75	0.8017867405900627	0.4076086956521739
positive regulation of phosphatase activity	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
positive regulation of phosphatidylinositol 3-kinase activity	NA	NA	NA	NA	NA
positive regulation of phosphatidylinositol 3-kinase signaling	NA	NA	NA	NA	NA
positive regulation of phospholipase C activity	NA	NA	NA	NA	NA
positive regulation of phospholipase activity	NA	NA	NA	NA	NA
positive regulation of phosphoprotein phosphatase activity	NA	NA	NA	NA	NA
positive regulation of plasminogen activation	NA	NA	NA	NA	NA
positive regulation of platelet activation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of platelet aggregation	NA	NA	NA	NA	NA
positive regulation of platelet-derived growth factor receptor signaling pathway	NA	NA	NA	NA	NA
positive regulation of podosome assembly	NA	NA	NA	NA	NA
positive regulation of positive chemotaxis	NA	NA	NA	NA	NA
positive regulation of production of molecular mediator of immune response	-0.5146281758125804	0.088603362097904	49.5	0.5759218536363759	0.26902173913043476
positive regulation of prostaglandin secretion	NA	NA	NA	NA	NA
positive regulation of proteasomal protein catabolic process	NA	NA	NA	NA	NA
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	NA	NA	NA	NA	NA
positive regulation of protein K63-linked ubiquitination	NA	NA	NA	NA	NA
positive regulation of protein autophosphorylation	NA	NA	NA	NA	NA
positive regulation of protein binding	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
positive regulation of protein dephosphorylation	NA	NA	NA	NA	NA
positive regulation of protein deubiquitination	NA	NA	NA	NA	NA
positive regulation of protein exit from endoplasmic reticulum	NA	NA	NA	NA	NA
positive regulation of protein import into nucleus	NA	NA	NA	NA	NA
