gene1,gene2,weight
MSH6,HDAC1,0.307287
MSH6,PCNA,0.9991690000000001
MSH6,CHEK1,0.567
MSH6,CDK5,0.202576
APOA1,PON1,0.6078
APOA1,APOB,0.836275
APOA1,ATP5B,0.576
APOA1,CAD,0.157
APOA1,APP,0.581
APOA1,PDE1A,0.566
APOA1,MIS12,0.971
APOA1,CPS1,0.157
CPSF3,PAPOLA,0.9372879999999999
CPSF3,TBP,0.575
CPSF3,MSH2,0.20278
CPSF3,POLR1A,0.20613499999999998
CPSF3,GTF3C3,0.83
CPSF3,CPSF2,0.998294
CPSF3,POLR2A,0.832456
CPSF3,SIRT7,0.313
CPSF3,UBC,0.933
CPSF3,CDC5L,0.320438
CPSF3,GMPS,0.225
CPSF3,ALYREF,0.297
EGR1,ACTA2,0.15176800000000001
EGR1,PHLPP1,0.204315
EGR1,EP300,0.922
EGR1,CAD,0.297
EGR1,ANK1,0.16281099999999998
EGR1,TP53,0.963
EGR1,ACTC1,0.15176800000000001
EGR1,MELK,0.18212
EGR1,BUB1,0.289
EGR1,DYRK1B,0.188208
EGR1,CTNNB1,0.585
EGR1,ACTB,0.15176800000000001
EGR1,SMARCA4,0.233
EGR1,HIST1H4A,0.153609
EGR1,ACTA1,0.15176800000000001
EGR1,HDAC1,0.402
EGR1,PPP3CA,0.25952
EGR1,MDM2,0.576
EGR1,OBSCN,0.236
FZD3,FBXW11,0.207
FZD3,GSK3B,0.22
FZD3,GIPC1,0.576
FZD3,CTNNB1,0.241
FZD3,MAP3K7,0.152
FZD3,BTRC,0.207
FZD3,RHOA,0.197
IAPP,IDE,0.576
PDE1B,NCALD,0.179
PDE1B,POT1,0.311
PLCG1,FKBP4,0.175
PLCG1,PDGFRA,0.86
PLCG1,PDGFRB,0.999
PLCG1,PLD2,0.576
PLCG1,PIK3CA,0.254
PLCG1,CBL,0.999
PLCG1,AKT1,0.576
PLCG1,AGTR1,0.576
PLCG1,PIK3R1,0.569
PLCG1,RASA1,0.915
PLCG1,EGFR,0.999
PLCG1,PAK1,0.576
PLCG1,GRIN2B,0.586
PLCG1,KIT,0.944
PLCG1,NCK1,0.576
PLCG1,CHAF1A,0.212
PLCG1,INSR,0.97
PLCG1,GRIN2A,0.586
PLCG1,GRB2,0.981
PLCG1,PTK2,0.926
PLCG1,ERBB4,0.846
PLCG1,PLD1,0.576
PLCG1,UBC,0.96
PLCG1,PDGFA,0.576
PLCG1,FYN,0.576
PLCG1,RAC1,0.576
PLCG1,SRC,0.808
PLCG1,SERPINC1,0.293
PLCG1,SYK,0.912
PLCG1,CAMK2A,0.564
PLCG1,RHOA,0.576
CDKN1A,ESR1,0.915
CDKN1A,HSPA8,0.159
CDKN1A,EIF2AK2,0.564
CDKN1A,CCNB1,0.997
CDKN1A,APC,0.273
CDKN1A,CCND2,0.998
CDKN1A,RBL2,0.238
CDKN1A,CCNE1,0.999
CDKN1A,EEF2K,0.551
CDKN1A,EP300,0.914
CDKN1A,STAT3,0.937
CDKN1A,CDK2,0.999
CDKN1A,RB1,0.57
CDKN1A,TP53,0.999
CDKN1A,AKT1,0.915
CDKN1A,SKP2,0.999
CDKN1A,DDB1,0.842
CDKN1A,PRPF8,0.238
CDKN1A,CDC20,0.61
CDKN1A,CDC42,0.844
CDKN1A,POLR2A,0.723
CDKN1A,CDK5R1,0.571
CDKN1A,PGR,0.567
CDKN1A,CUL1,0.564
CDKN1A,HSP90AA1,0.564
CDKN1A,UBC,0.999
CDKN1A,E2F1,0.576
CDKN1A,PARP1,0.912
CDKN1A,CDC5L,0.679
CDKN1A,HDAC1,0.961
